Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;MULHOUSE VILLE;87182063;ECOLE VALENTIN;87710731;1;Tarif Avantage;11.9;39.0
TGV INOUI;TGV HAUTE PICARDIE;87313882;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;TOURS;87571000;LILLE EUROPE;87223263;2;Tarif Normal;42.0;110.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;POITIERS;87575001;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CARCASSONNE;87615286;MONTAUBAN VILLE BOURBON;87611244;1;Tarif Réglementé;44.1;44.1
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MARMANDE;87586545;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;TGV HAUTE PICARDIE;87313882;LIBOURNE;87584052;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Réglementé;85.5;110.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;RENNES;87471003;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;LYON PERRACHE;87722025;1;Tarif Réglementé;44.1;44.1
TGV INOUI;AGEN;87586008;ARRAS;87342014;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;TOUL;87141044;NARBONNE;87781104;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;85.5;110.0
TGV INOUI;MARSEILLE BLANCARDE;87751081;PARIS GARE DE LYON;87686006;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;LYON PART DIEU;87723197;ANNECY;87746008;1;Tarif Réglementé;44.1;44.1
TGV INOUI;AIME LA PLAGNE;87741769;ROUEN RIVE DROITE;87411017;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;TOUL;87141044;SETE;87773200;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;PARIS NORD;87271007;2;Tarif Réglementé;85.5;110.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;PARIS GARE DE LYON;87686006;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;NANCY;87141002;SELESTAT;87214056;1;Tarif Réglementé;44.1;44.1
TGV INOUI;AIX EN PROVENCE TGV;87319012;MARNE LA VALLEE CHESSY;87111849;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;TOULON;87755009;TOUL;87141044;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;AVIGNON CENTRE;87765008;TOUL;87141044;2;Tarif Réglementé;87.4;110.0
TGV INOUI;MASSY PALAISEAU;87393579;BOURG ST MAURICE;87741793;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;NANTES;87481002;RENNES;87471003;1;Tarif Réglementé;44.1;44.1
TGV INOUI;ANGOULEME;87583005;LORRAINE TGV;87142109;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;VANNES;87476606;DOUAI;87345009;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;STRASBOURG;87212027;CONFLANS FIN D'OISE;87381459;2;Tarif Réglementé;87.4;110.0
TGV INOUI;MASSY TGV;87393702;NIMES PONT DU GARD;87703975;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;NANTES;87481002;SABLE SUR SARTHE;87396408;1;Tarif Réglementé;44.1;44.1
TGV INOUI;ANTIBES;87757674;BEAUNE;87713545;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;VANNES;87476606;MEUSE TGV;87147322;1;Tarif Elève - Etudiant - Apprenti;39.0;39.0
TGV INOUI;PARIS NORD;87271007;VALENCE VILLE;87761007;2;Tarif Réglementé;87.6;110.0
